iter	Passed	Remaining
0	158	158547
1	160	80283
2	162	54148
3	165	41221
4	167	33377
5	169	28095
6	171	24357
7	173	21538
8	175	19333
9	178	17662
10	180	16224
11	182	15017
12	184	13991
13	185	13092
14	187	12328
15	189	11654
16	191	11091
17	193	10580
18	195	10105
19	197	9681
20	199	9290
21	200	8929
22	202	8602
23	204	8307
24	206	8066
25	208	7819
26	210	7581
27	211	7358
28	213	7155
29	215	6963
30	217	6786
31	218	6616
32	220	6466
33	222	6329
34	224	6195
35	226	6061
36	227	5930
37	229	5808
38	231	5702
39	233	5593
40	234	5495
41	236	5399
42	238	5316
43	240	5228
44	242	5142
45	243	5057
46	245	4979
47	247	4905
48	249	4843
49	252	4788
50	253	4723
51	255	4661
52	257	4603
53	259	4549
54	261	4492
55	263	4445
56	265	4396
57	267	4348
58	269	4295
59	270	4243
60	272	4196
61	274	4150
62	276	4105
63	278	4068
64	280	4028
65	281	3990
66	283	3948
67	285	3911
68	286	3872
69	288	3832
70	290	3795
71	291	3759
72	293	3732
73	295	3701
74	297	3668
75	299	3637
76	300	3606
77	302	3574
78	303	3542
79	305	3511
80	307	3483
81	309	3463
82	310	3429
83	312	3403
84	313	3377
85	315	3351
86	316	3326
87	318	3302
88	320	3282
89	322	3261
90	324	3238
91	326	3217
92	327	3197
93	329	3177
94	331	3156
95	333	3137
96	335	3121
97	337	3104
98	338	3084
99	340	3064
100	342	3045
101	343	3026
102	345	3006
103	346	2986
104	348	2970
105	350	2958
106	353	2950
107	355	2938
108	357	2924
109	360	2912
110	361	2898
111	363	2884
112	366	2874
113	368	2862
114	369	2846
115	371	2832
116	373	2815
117	374	2800
118	376	2786
119	378	2773
120	380	2767
121	382	2755
122	384	2743
123	386	2730
124	388	2718
125	390	2708
126	392	2695
127	394	2688
128	396	2677
129	398	2665
130	399	2652
131	401	2639
132	402	2626
133	404	2615
134	406	2603
135	407	2591
136	410	2583
137	411	2572
138	413	2562
139	415	2550
140	416	2538
141	417	2524
142	419	2513
143	420	2502
144	422	2491
145	424	2483
146	426	2473
147	428	2463
148	429	2454
149	431	2444
150	433	2435
151	434	2425
152	436	2415
153	437	2405
154	440	2400
155	442	2395
156	444	2386
157	446	2378
158	448	2370
159	450	2362
160	451	2351
161	452	2341
162	455	2336
163	456	2328
164	458	2320
165	460	2312
166	461	2303
167	463	2294
168	464	2285
169	466	2277
170	468	2269
171	470	2265
172	472	2258
173	474	2250
174	475	2242
175	477	2235
176	479	2227
177	480	2219
178	482	2211
179	484	2205
180	486	2201
181	488	2195
182	489	2187
183	491	2180
184	493	2172
185	494	2165
186	496	2158
187	498	2150
188	500	2147
189	502	2140
190	503	2134
191	505	2127
192	507	2120
193	508	2113
194	510	2106
195	511	2099
196	513	2094
197	516	2091
198	518	2086
199	520	2081
200	522	2076
201	524	2070
202	525	2064
203	527	2058
204	529	2054
205	531	2050
206	534	2046
207	535	2040
208	537	2035
209	539	2029
210	541	2023
211	542	2017
212	544	2013
213	546	2008
214	549	2006
215	551	2002
216	553	1998
217	555	1992
218	557	1987
219	560	1985
220	562	1982
221	564	1977
222	566	1972
223	568	1968
224	569	1962
225	571	1957
226	573	1954
227	576	1952
228	578	1947
229	580	1943
230	582	1938
231	584	1933
232	586	1929
233	588	1926
234	590	1923
235	592	1919
236	594	1915
237	596	1910
238	598	1905
239	600	1901
240	602	1896
241	605	1897
242	607	1893
243	609	1889
244	612	1886
245	614	1882
246	616	1879
247	619	1877
248	622	1876
249	624	1872
250	626	1868
251	628	1866
252	631	1863
253	633	1860
254	635	1857
255	638	1856
256	640	1853
257	642	1848
258	644	1845
259	647	1841
260	650	1841
261	652	1838
262	654	1834
263	656	1831
264	658	1827
265	660	1823
266	662	1819
267	665	1817
268	667	1814
269	669	1809
270	671	1805
271	672	1800
272	674	1796
273	676	1792
274	679	1790
275	681	1786
276	683	1783
277	685	1779
278	687	1775
279	689	1771
280	690	1768
281	692	1764
282	695	1761
283	697	1757
284	698	1753
285	700	1748
286	702	1744
287	703	1739
288	705	1734
289	706	1730
290	709	1727
291	710	1723
292	712	1719
293	714	1715
294	715	1710
295	717	1706
296	719	1701
297	720	1697
298	722	1693
299	724	1689
300	726	1686
301	728	1683
302	730	1679
303	731	1675
304	733	1671
305	734	1666
306	736	1662
307	738	1658
308	740	1655
309	741	1651
310	743	1647
311	744	1642
312	746	1638
313	748	1634
314	749	1630
315	751	1626
316	753	1622
317	755	1619
318	757	1617
319	759	1613
320	761	1610
321	763	1607
322	764	1603
323	766	1598
324	768	1595
325	770	1592
326	772	1588
327	773	1585
328	775	1581
329	776	1576
330	778	1572
331	779	1568
332	781	1565
333	783	1563
334	785	1560
335	787	1556
336	789	1552
337	790	1548
338	792	1544
339	793	1541
340	795	1536
341	797	1533
342	799	1531
343	802	1529
344	803	1525
345	805	1522
346	807	1519
347	808	1515
348	810	1512
349	813	1510
350	815	1507
351	817	1504
352	819	1501
353	821	1498
354	822	1494
355	824	1491
356	826	1487
357	828	1485
358	830	1482
359	831	1479
360	833	1475
361	835	1472
362	836	1468
363	838	1465
364	840	1461
365	841	1458
366	844	1456
367	846	1453
368	848	1450
369	849	1446
370	850	1442
371	852	1439
372	854	1435
373	855	1432
374	857	1429
375	859	1426
376	861	1423
377	863	1420
378	864	1416
379	866	1413
380	868	1410
381	869	1407
382	871	1404
383	873	1401
384	875	1398
385	877	1395
386	878	1391
387	880	1388
388	882	1385
389	884	1382
390	886	1380
391	889	1379
392	891	1376
393	893	1374
394	895	1371
395	896	1367
396	898	1364
397	900	1361
398	902	1358
399	904	1356
400	906	1354
401	908	1351
402	910	1348
403	911	1345
404	913	1342
405	915	1338
406	916	1335
407	919	1333
408	921	1331
409	923	1328
410	925	1325
411	926	1322
412	928	1319
413	930	1316
414	931	1313
415	934	1311
416	935	1308
417	937	1305
418	939	1302
419	941	1299
420	942	1296
421	944	1293
422	946	1290
423	947	1287
424	950	1285
425	952	1283
426	953	1279
427	955	1277
428	957	1274
429	959	1271
430	960	1268
431	962	1266
432	964	1263
433	966	1260
434	968	1257
435	970	1255
436	971	1252
437	973	1249
438	975	1246
439	976	1242
440	979	1241
441	981	1238
442	982	1235
443	984	1232
444	985	1229
445	987	1226
446	988	1223
447	990	1220
448	992	1217
449	994	1215
450	996	1213
451	998	1210
452	999	1207
453	1001	1204
454	1002	1201
455	1004	1198
456	1005	1195
457	1008	1193
458	1011	1191
459	1012	1189
460	1014	1186
461	1016	1183
462	1018	1181
463	1019	1178
464	1021	1175
465	1023	1173
466	1025	1170
467	1027	1167
468	1028	1164
469	1030	1161
470	1031	1158
471	1033	1156
472	1035	1153
473	1036	1150
474	1039	1148
475	1040	1145
476	1042	1142
477	1044	1140
478	1045	1137
479	1047	1134
480	1048	1131
481	1050	1128
482	1052	1126
483	1054	1124
484	1056	1121
485	1057	1118
486	1059	1115
487	1060	1112
488	1062	1110
489	1063	1107
490	1065	1104
491	1067	1101
492	1069	1099
493	1071	1097
494	1072	1094
495	1074	1091
496	1075	1088
497	1077	1085
498	1079	1083
499	1080	1080
500	1083	1078
501	1085	1076
502	1087	1074
503	1088	1071
504	1090	1069
505	1092	1066
506	1094	1064
507	1096	1061
508	1098	1059
509	1101	1058
510	1103	1055
511	1105	1053
512	1107	1051
513	1109	1048
514	1111	1046
515	1113	1044
516	1116	1042
517	1118	1040
518	1119	1037
519	1121	1035
520	1124	1033
521	1125	1031
522	1128	1029
523	1130	1026
524	1132	1024
525	1134	1022
526	1136	1019
527	1137	1017
528	1139	1014
529	1141	1012
530	1144	1010
531	1146	1008
532	1148	1005
533	1149	1003
534	1151	1001
535	1153	998
536	1155	996
537	1158	995
538	1160	992
539	1162	990
540	1164	988
541	1166	985
542	1168	983
543	1170	981
544	1172	978
545	1174	976
546	1177	974
547	1179	972
548	1180	970
549	1182	967
550	1184	965
551	1186	962
552	1189	961
553	1191	959
554	1193	956
555	1195	954
556	1197	952
557	1199	949
558	1200	947
559	1203	945
560	1206	944
561	1208	941
562	1210	939
563	1212	937
564	1214	935
565	1216	932
566	1219	930
567	1221	928
568	1223	926
569	1225	924
570	1227	921
571	1229	919
572	1230	917
573	1233	915
574	1235	913
575	1237	910
